CK1249_metscf_92	MH859709	326	80.982	19792	20097	323	128	8.72e-60	Mortierella globalpina
CK1249_metscf_585	AY198400	132	90.152	5434	5565	5398	92	3.64e-40	Nakaseomyces delphensis
CK1249_metscf_585	KT336720	132	90.152	5434	5565	4805	92	3.64e-40	Candida ranongensis
CK1249_metscf_585	FJ422506	132	90.152	5434	5565	5282	92	3.64e-40	Eremothecium sinecaudum
CK1249_metscf_585	KT276332	132	90.152	5434	5565	5007	92	3.64e-40	Spathaspora sp. UFMG-CM-Y306
CK1249_metscf_585	JQ612155	132	90.152	5434	5565	5166	92	3.64e-40	Candida tunisiensis
CK1249_metscf_585	KT336722	132	90.152	5434	5565	4717	92	3.64e-40	Candida sp. NRRL Y-27665
CK1249_metscf_585	KF647736	132	90.152	5434	5565	4522	92	3.64e-40	Metschnikowia dekortorum
CK1249_metscf_585	AM943655	132	89.394	5434	5565	5360	89	1.69e-38	Zygosaccharomyces rouxii
CK1249_metscf_585	KT336719	132	89.394	5434	5565	4759	89	1.69e-38	Candida neorugosa
CK1249_metscf_585	EU143316	133	89.474	5434	5565	4527	89	1.69e-38	Metschnikowia cubensis
CK1249_metscf_932	KF651068	99	93.939	369	467	5197	79	4.11e-33	Colponema edaphicum
CK1249_metscf_932	KF651078	99	93.939	369	467	5244	79	4.11e-33	Acavomonas peruviana
CK1249_metscf_932	AF223066	99	93.939	369	467	5178	79	4.11e-33	Humulus lupulus
CK1249_metscf_932	AY342318	99	93.939	369	467	6355	79	4.11e-33	Marchantia polymorpha
CK1249_metscf_932	JF489233	99	93.939	369	467	5220	79	4.11e-33	Secale cereale
CK1249_metscf_932	JN665086	99	93.939	369	467	5287	79	4.11e-33	Asclepias cutleri
CK1249_metscf_932	JN665088	99	93.939	369	467	5268	79	4.11e-33	Asclepias macrotis
CK1249_metscf_932	JQ228377	99	93.939	369	467	5232	79	4.11e-33	Theobroma cacao
CK1249_metscf_932	JQ228378	99	93.939	369	467	5232	79	4.11e-33	Theobroma grandiflorum
CK1249_metscf_932	JQ736823	99	93.939	369	467	5404	79	4.11e-33	Funaria hygrometrica
CK1249_metscf_1111	MT784100	160	98.125	5505	5664	5488	151	3.18e-73	Drosera intermedia
CK1249_metscf_1111	MF004311	160	98.125	5505	5664	5233	151	3.18e-73	Aspergillus keveii
CK1249_metscf_1111	EU167598	160	98.125	5505	5664	5159	151	3.18e-73	Mycosphaerella stromatosa
CK1249_metscf_1111	EU040243	160	98.125	5505	5664	3430	151	3.18e-73	Toxicocladosporium irritans
CK1249_metscf_1111	GU214688	160	98.125	5505	5664	5116	151	3.18e-73	Epicoleosporium ramularioides
CK1249_metscf_1111	KF737866	160	98.125	5505	5664	5458	151	3.18e-73	Pseudozyma sp. GHG001
CK1249_metscf_1111	GU214669	160	98.125	5505	5664	5449	151	3.18e-73	Phacellium paspali
CK1249_metscf_1111	GU214695	160	98.125	5505	5664	5122	151	3.18e-73	Xenoramularia polygonicola
CK1249_metscf_1111	GU214689	160	98.125	5505	5664	5114	151	3.18e-73	Cercosporella acroptili
CK1249_metscf_1111	GU214693	160	98.125	5505	5664	5111	151	3.18e-73	Ramularia stellariicola
CK1249_metscf_1182	KT336719	287	87.108	7316	7599	4789	173	1.73e-85	Candida neorugosa
CK1249_metscf_1182	AB243296	474	79.536	7316	7779	5387	173	1.73e-85	Schizosaccharomyces japonicus
CK1249_metscf_1182	KT336720	228	91.667	7316	7543	4835	170	8.04e-84	Candida ranongensis
CK1249_metscf_1182	KT336722	228	91.667	7316	7543	4747	170	8.04e-84	Candida sp. NRRL Y-27665
CK1249_metscf_1182	AY198400	222	90.991	7316	7537	5428	161	8.10e-79	Nakaseomyces delphensis
CK1249_metscf_1182	KT276332	228	90.351	7316	7543	5037	161	8.10e-79	Spathaspora sp. UFMG-CM-Y306
CK1249_metscf_1182	AM943655	223	90.583	7316	7537	5390	158	3.77e-77	Zygosaccharomyces rouxii
CK1249_metscf_1182	FJ422506	228	89.474	7316	7543	5312	155	1.75e-75	Eremothecium sinecaudum
CK1249_metscf_1182	EU143316	219	90.411	7316	7533	4557	155	1.75e-75	Metschnikowia cubensis
CK1249_metscf_1182	KF647736	218	90.367	7316	7533	4552	155	1.75e-75	Metschnikowia dekortorum
