NRRL_1362_metscf_28	MN432520	88	97.727	70881	70968	5096	82	4.87e-34	Mansonella perstans
NRRL_1362_metscf_28	KJ461186	89	96.629	70880	70968	6232	80	6.30e-33	Ranatra chinensis
NRRL_1362_metscf_28	AF223570	88	96.591	70881	70968	2689	79	2.26e-32	Spathidium amphoriforme
NRRL_1362_metscf_28	JQ434476	88	96.591	70881	70968	3387	79	2.26e-32	Goniomonas avonlea
NRRL_1362_metscf_28	U03602	88	96.591	70881	70968	3370	79	2.26e-32	Theileria parva
NRRL_1362_metscf_28	MG202005	88	96.591	70881	70968	3560	79	2.26e-32	Picobiliphyte sp. MS584-11
NRRL_1362_metscf_28	U48228	88	96.591	70881	70968	3373	79	2.26e-32	Plasmodium falciparum
NRRL_1362_metscf_28	MN381958	88	96.591	70881	70968	4122	79	2.26e-32	N/A
NRRL_1362_metscf_28	MH304761	88	96.591	70881	70968	4050	79	2.26e-32	N/A
NRRL_1362_metscf_28	MF039366	88	96.591	70881	70968	4206	79	2.26e-32	Collodictyon triciliatum
NRRL_1362_metscf_693	KT736103	209	81.340	20584	20790	485	89	2.50e-38	Mucor rudolphii
NRRL_1362_metscf_693	KT736106	209	81.340	20584	20790	388	89	2.50e-38	Mucor lilianae
NRRL_1362_metscf_693	MK394152	147	86.395	20588	20733	197	86	1.16e-36	Candida pseudohaemulonii
NRRL_1362_metscf_693	AY532651	205	80.976	20587	20790	487	85	4.19e-36	Pneumocystis murina
NRRL_1362_metscf_693	AY198400	192	81.771	20600	20790	478	84	1.51e-35	Nakaseomyces delphensis
NRRL_1362_metscf_693	AM943655	192	81.771	20600	20790	477	84	1.51e-35	Zygosaccharomyces rouxii
NRRL_1362_metscf_693	KT276332	192	81.771	20600	20790	430	84	1.51e-35	Spathaspora sp. UFMG-CM-Y306
NRRL_1362_metscf_693	AB243296	204	80.882	20588	20790	490	84	1.51e-35	Schizosaccharomyces japonicus
NRRL_1362_metscf_693	JQ612155	192	81.771	20600	20790	472	84	1.51e-35	Candida tunisiensis
NRRL_1362_metscf_693	KF737866	147	85.714	20588	20733	483	83	5.42e-35	Pseudozyma sp. GHG001
NRRL_1362_metscf_717	KT956972	224	89.732	5527	5748	588	154	1.81e-74	Circinella sp. YNW-2016a
NRRL_1362_metscf_885	KT956972	342	82.456	18073	18410	1041	157	3.46e-76	Circinella sp. YNW-2016a
NRRL_1362_metscf_885	JN205855	284	84.155	18073	18352	364	144	5.84e-69	Circinella chinensis
NRRL_1362_metscf_3214	KT956972	131	96.183	3719	3849	194	115	2.41e-53	Circinella sp. YNW-2016a
NRRL_1362_metscf_3725	KT956972	2279	98.859	2418	4694	2277	2202	0.0	Circinella sp. YNW-2016a
NRRL_1362_metscf_3725	KT336722	2496	85.056	246	2718	4959	1340	0.0	Candida sp. NRRL Y-27665
NRRL_1362_metscf_3725	KT336722	1078	81.354	4014	5076	1664	445	0.0	Candida sp. NRRL Y-27665
NRRL_1362_metscf_3725	KT336722	343	88.921	5198	5539	543	227	1.01e-115	Candida sp. NRRL Y-27665
NRRL_1362_metscf_3725	KT736103	1841	86.583	4014	5813	1817	1067	0.0	Mucor rudolphii
NRRL_1362_metscf_3725	KT736103	601	84.027	2828	3424	2960	309	2.63e-161	Mucor rudolphii
NRRL_1362_metscf_3725	KT736103	323	86.687	2428	2748	3392	190	3.72e-95	Mucor rudolphii
NRRL_1362_metscf_3725	KT736103	166	84.940	3612	3777	2189	89	5.21e-39	Mucor rudolphii
NRRL_1362_metscf_3725	KT736106	1550	88.774	4014	5539	1720	1009	0.0	Mucor lilianae
NRRL_1362_metscf_3725	KT736106	601	84.027	2828	3424	2862	309	2.63e-161	Mucor lilianae
NRRL_1362_metscf_3725	KT736106	298	86.242	2453	2748	3269	171	1.36e-84	Mucor lilianae
NRRL_1362_metscf_3725	KT736106	171	84.795	3612	3782	2091	91	4.03e-40	Mucor lilianae
NRRL_1362_metscf_3725	AB243296	1051	92.293	247	1294	5598	804	0.0	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	AB243296	1375	84.655	1384	2746	4411	726	0.0	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	AB243296	1089	82.736	4014	5076	1824	498	0.0	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	AB243296	352	90.909	5190	5539	641	254	9.85e-131	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	AB243296	454	78.194	2968	3406	2897	145	3.86e-70	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	AB243296	179	85.475	5653	5829	174	97	1.86e-43	Schizosaccharomyces japonicus
NRRL_1362_metscf_3725	KT276332	1057	91.958	246	1294	5249	793	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1362_metscf_3725	KT276332	1549	83.086	4014	5539	1742	726	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1362_metscf_3725	KT276332	1366	83.309	1397	2747	4079	661	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1362_metscf_3725	KT276332	434	79.032	2986	3406	2577	147	2.98e-71	Spathaspora sp. UFMG-CM-Y306
NRRL_1362_metscf_3725	FJ422506	1057	91.580	239	1285	5530	779	0.0	Eremothecium sinecaudum
NRRL_1362_metscf_3725	FJ422506	1361	83.395	1397	2746	4334	665	0.0	Eremothecium sinecaudum
NRRL_1362_metscf_3725	FJ422506	1076	82.900	4014	5076	1795	501	0.0	Eremothecium sinecaudum
NRRL_1362_metscf_3725	FJ422506	352	88.636	5190	5539	640	230	2.16e-117	Eremothecium sinecaudum
NRRL_1362_metscf_3725	FJ422506	432	79.861	3002	3424	2811	160	1.77e-78	Eremothecium sinecaudum
NRRL_1362_metscf_3725	FJ422506	179	86.034	5653	5829	174	100	4.00e-45	Eremothecium sinecaudum
NRRL_1362_metscf_3725	GU214688	1055	91.185	243	1294	5281	772	0.0	Epicoleosporium ramularioides
NRRL_1362_metscf_3725	GU214688	1373	82.593	1384	2746	4124	637	0.0	Epicoleosporium ramularioides
NRRL_1362_metscf_3725	GU214688	1082	82.255	4010	5076	1735	482	0.0	Epicoleosporium ramularioides
NRRL_1362_metscf_3725	GU214688	348	90.230	5194	5539	565	244	3.57e-125	Epicoleosporium ramularioides
NRRL_1362_metscf_3725	JQ612155	1074	90.782	239	1305	5415	769	0.0	Candida tunisiensis
NRRL_1362_metscf_3725	JQ612155	1849	80.909	4014	5826	1796	745	0.0	Candida tunisiensis
NRRL_1362_metscf_3725	JQ612155	1367	83.614	1395	2747	4231	678	0.0	Candida tunisiensis
NRRL_1362_metscf_3725	JQ612155	447	79.642	2986	3424	2722	166	8.18e-82	Candida tunisiensis
NRRL_1362_metscf_3725	MF004311	1055	90.995	243	1294	5398	766	0.0	Aspergillus keveii
NRRL_1362_metscf_3725	MF004311	1354	82.127	1395	2739	4225	613	0.0	Aspergillus keveii
NRRL_1362_metscf_3725	MF004311	1061	82.092	4501	5539	1333	472	0.0	Aspergillus keveii
NRRL_1362_metscf_3725	MF004311	399	82.957	4014	4407	1797	189	1.34e-94	Aspergillus keveii
NRRL_1362_metscf_3725	MF004311	179	85.475	5653	5829	173	97	1.86e-43	Aspergillus keveii
