NRRL_1555_metscf_50	MH862281	128	96.094	72453	72579	316	112	2.21e-50	Syncephalastrum monosporum var. pluriproliferum
NRRL_1555_metscf_50	HM999974	128	96.094	72453	72579	316	112	2.21e-50	Syncephalastrum monosporum var. monosporum
NRRL_1555_metscf_50	FR750365	298	77.517	72735	73028	290	101	2.87e-44	Glomus macrocarpum
NRRL_1555_metscf_50	FR750367	298	77.517	72735	73028	290	101	2.87e-44	Glomus macrocarpum
NRRL_1555_metscf_50	FR750363	298	77.181	72735	73028	290	98	1.34e-42	Glomus macrocarpum
NRRL_1555_metscf_50	FR750364	298	77.181	72735	73028	290	98	1.34e-42	Glomus macrocarpum
NRRL_1555_metscf_50	FR750366	298	77.181	72735	73028	290	98	1.34e-42	Glomus macrocarpum
NRRL_1555_metscf_50	JN205847	117	94.017	72453	72567	387	95	6.22e-41	Absidia idahoensis
NRRL_1555_metscf_50	GU256738	122	92.623	72453	72572	309	94	2.24e-40	Rhizomucor pusillus
NRRL_1555_metscf_50	JN205845	117	92.308	72453	72567	338	89	1.35e-37	Zychaea mexicana
NRRL_1555_metscf_122	AB243296	1054	90.797	3816	4864	4553	756	0.0	Schizosaccharomyces japonicus
NRRL_1555_metscf_122	AB243296	1194	83.250	2540	3728	3245	573	0.0	Schizosaccharomyces japonicus
NRRL_1555_metscf_122	AB243296	1105	81.357	102	1179	752	458	0.0	Schizosaccharomyces japonicus
NRRL_1555_metscf_122	KT276332	1060	90.566	3816	4865	4204	748	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1555_metscf_122	KT276332	1196	82.107	2540	3726	2929	528	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1555_metscf_122	KT276332	1110	81.351	102	1187	684	455	0.0	Spathaspora sp. UFMG-CM-Y306
NRRL_1555_metscf_122	KT276332	442	78.281	1731	2160	2135	140	2.12e-67	Spathaspora sp. UFMG-CM-Y306
NRRL_1555_metscf_122	FJ422506	1063	90.405	3813	4865	4474	746	0.0	Eremothecium sinecaudum
