NRRL_6351_metscf_8	JX109844	562	75.623	34399	34936	1422	130	3.24e-60	Antrodia serialis
NRRL_6351_metscf_8	KX752597	554	75.632	34399	34929	1437	128	4.19e-59	Hapalopilus percoctus
NRRL_6351_metscf_8	KU519068	590	75.085	34399	34963	1493	127	1.51e-58	N/A
NRRL_6351_metscf_8	AM943655	557	75.224	34399	34929	3300	122	9.06e-56	Zygosaccharomyces rouxii
NRRL_6351_metscf_8	KX752606	562	75.089	34399	34936	1474	121	3.26e-55	Ceriporia sordescens
NRRL_6351_metscf_8	AB243296	479	76.200	34399	34857	3294	121	3.26e-55	Schizosaccharomyces japonicus
NRRL_6351_metscf_8	HQ201350	562	75.089	34399	34936	1494	121	3.26e-55	Inocybe diabolica
NRRL_6351_metscf_8	KF993708	453	76.600	34424	34857	3029	120	1.17e-54	Archaeorhizomyces sp. AM-2014
NRRL_6351_metscf_8	KJ399955	483	75.983	34399	34857	1550	115	7.06e-52	Inocybe cf. leiocephala ohenojae02081975
NRRL_6351_metscf_8	KX384177	483	75.983	34399	34857	1530	115	7.06e-52	Inocybe sp. 2 EL-2016
NRRL_6351_metscf_174	AY198400	265	85.283	12474	12737	5645	146	1.20e-69	Nakaseomyces delphensis
NRRL_6351_metscf_174	AY198400	84	97.619	10227	10310	614	78	7.61e-32	Nakaseomyces delphensis
NRRL_6351_metscf_174	KT336720	275	84.727	12465	12737	5061	146	1.20e-69	Candida ranongensis
NRRL_6351_metscf_174	KT336722	275	84.727	12465	12737	4973	146	1.20e-69	Candida sp. NRRL Y-27665
NRRL_6351_metscf_174	KT336719	311	82.637	12430	12737	5047	144	1.56e-68	Candida neorugosa
NRRL_6351_metscf_174	FJ422506	277	83.755	12464	12737	5539	138	3.37e-65	Eremothecium sinecaudum
NRRL_6351_metscf_174	FJ422506	84	97.619	10227	10310	613	78	7.61e-32	Eremothecium sinecaudum
NRRL_6351_metscf_174	KT276332	276	83.696	12464	12737	5264	138	3.37e-65	Spathaspora sp. UFMG-CM-Y306
NRRL_6351_metscf_174	AM943655	266	84.211	12474	12737	5607	137	1.21e-64	Zygosaccharomyces rouxii
NRRL_6351_metscf_174	AM943655	84	97.619	10227	10310	613	78	7.61e-32	Zygosaccharomyces rouxii
NRRL_6351_metscf_174	JQ612155	265	83.774	12475	12737	5413	134	5.64e-63	Candida tunisiensis
NRRL_6351_metscf_174	EU276014	265	83.774	12475	12737	5884	134	5.64e-63	Aurelia sp. Incheon-2006
NRRL_6351_metscf_174	KY212123	265	83.774	12475	12737	5761	134	5.64e-63	Chrysaora pacifica
NRRL_6351_metscf_201	KM207670	91	94.505	59932	60022	5243	76	8.69e-31	Panax ginseng
NRRL_6351_metscf_201	MK408800	91	94.505	59932	60022	5246	76	8.69e-31	Panax japonicus var. bipinnatifidus
NRRL_6351_metscf_201	KY753851	91	94.505	59932	60022	6155	76	8.69e-31	Lepidonotus sp. YZ-2018
NRRL_6351_metscf_463	AB617741	166	89.157	4395	4559	981	111	7.42e-51	Calcarisporiella thermophila
NRRL_6351_metscf_463	FN547508	147	91.837	4395	4539	1038	109	9.59e-50	Acaulospora laevis
NRRL_6351_metscf_463	FN547509	147	91.837	4395	4539	1034	109	9.59e-50	Acaulospora laevis
NRRL_6351_metscf_463	FN547510	147	91.837	4395	4539	1034	109	9.59e-50	Acaulospora laevis
NRRL_6351_metscf_463	FN547511	147	91.837	4395	4539	1034	109	9.59e-50	Acaulospora laevis
NRRL_6351_metscf_463	FN547516	147	91.837	4395	4539	1037	109	9.59e-50	Acaulospora laevis
NRRL_6351_metscf_463	FR750063	147	91.837	4395	4539	1053	109	9.59e-50	Acaulospora colombiana
NRRL_6351_metscf_463	FR750363	146	91.781	4395	4539	1013	109	9.59e-50	Glomus macrocarpum
NRRL_6351_metscf_463	FR750364	146	91.781	4395	4539	1016	109	9.59e-50	Glomus macrocarpum
NRRL_6351_metscf_463	FR750365	146	91.781	4395	4539	1008	109	9.59e-50	Glomus macrocarpum
NRRL_6351_metscf_464	MT784100	207	90.821	7143	7349	5303	149	5.57e-72	Drosera intermedia
NRRL_6351_metscf_464	MF004311	208	90.385	7143	7350	5048	147	7.20e-71	Aspergillus keveii
NRRL_6351_metscf_464	AB243296	210	90.000	7140	7349	5249	146	2.59e-70	Schizosaccharomyces japonicus
NRRL_6351_metscf_464	KF651068	209	89.952	7143	7351	5173	145	9.32e-70	Colponema edaphicum
NRRL_6351_metscf_464	KF651078	206	90.291	7143	7348	5220	145	9.32e-70	Acavomonas peruviana
NRRL_6351_metscf_464	KP718629	216	89.352	7143	7357	5192	145	9.32e-70	Scrophularia takesimensis
NRRL_6351_metscf_464	KX063947	216	89.352	7143	7357	5241	145	9.32e-70	Diplostephium azureum
NRRL_6351_metscf_464	KX063992	216	89.352	7143	7357	5241	145	9.32e-70	Diplostephium espinosae
NRRL_6351_metscf_464	MK607896	206	90.291	7143	7348	5253	145	9.32e-70	N/A
NRRL_6351_metscf_464	EU167598	206	90.291	7143	7348	4974	145	9.32e-70	Mycosphaerella stromatosa
NRRL_6351_metscf_507	AB243296	346	84.393	141	485	5615	181	6.38e-90	Schizosaccharomyces japonicus
NRRL_6351_metscf_507	KT336720	344	84.302	144	485	5061	178	2.97e-88	Candida ranongensis
NRRL_6351_metscf_507	KT336722	344	84.302	144	485	4973	178	2.97e-88	Candida sp. NRRL Y-27665
NRRL_6351_metscf_507	AY198400	338	84.320	150	485	5648	175	1.38e-86	Nakaseomyces delphensis
NRRL_6351_metscf_507	KT336719	344	84.012	144	485	5015	175	1.38e-86	Candida neorugosa
NRRL_6351_metscf_507	FJ422506	347	84.150	144	485	5538	175	1.38e-86	Eremothecium sinecaudum
NRRL_6351_metscf_507	KT276332	344	84.012	144	485	5263	175	1.38e-86	Spathaspora sp. UFMG-CM-Y306
NRRL_6351_metscf_507	JQ612155	334	84.431	155	485	5412	174	4.96e-86	Candida tunisiensis
NRRL_6351_metscf_507	MT784100	328	83.232	159	485	5649	160	3.01e-78	Drosera intermedia
NRRL_6351_metscf_507	MF004311	342	82.164	145	485	5408	156	5.04e-76	Aspergillus keveii
NRRL_6351_metscf_522	KY212123	610	81.311	5083	5681	5411	255	4.02e-131	Chrysaora pacifica
NRRL_6351_metscf_522	KT336720	366	89.891	5083	5448	4702	252	1.87e-129	Candida ranongensis
NRRL_6351_metscf_522	JQ612155	428	86.682	5083	5508	5063	252	1.87e-129	Candida tunisiensis
NRRL_6351_metscf_522	KT336722	366	89.891	5083	5448	4614	252	1.87e-129	Candida sp. NRRL Y-27665
NRRL_6351_metscf_522	AB243296	611	81.015	5083	5681	5254	250	2.42e-128	Schizosaccharomyces japonicus
NRRL_6351_metscf_522	AY198400	360	90.000	5083	5442	5295	249	8.71e-128	Nakaseomyces delphensis
NRRL_6351_metscf_522	KT336719	366	89.617	5083	5448	4656	249	8.71e-128	Candida neorugosa
