Species	Query Contig	Hit Accession	AlnLen	PercentIDMatch	QStart	QEnd	HStart	HEnd	Evalue	Hit Taxon
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_75	NG_065592	206	95.631	10101	10306	1345	179	3.34e-89	Mucor circinelloides f. janssenii
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_75	NG_065590	206	95.631	10101	10306	1341	179	3.34e-89	Mucor circinelloides f. lusitanicus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_75	NG_065588	206	95.631	10101	10306	1357	179	3.34e-89	Mucor circinelloides
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_75	NG_065591	206	94.660	10101	10306	1347	173	7.23e-86	Mucor circinelloides f. griseocyanus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_75	NG_062621	206	94.660	10101	10306	1365	173	7.23e-86	Rhizopus oryzae
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_149	NG_063235	100	95.000	12481	12580	102	85	4.91e-37	Poitrasia circinans
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_149	NG_062025	101	93.069	12488	12588	102	80	2.96e-34	Trichosporon dermatis
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_149	NG_063520	105	91.429	12488	12592	110	78	3.82e-33	Sporobolomyces yunnanensis
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_149	NG_065486	111	90.090	12488	12598	114	78	3.82e-33	Sporobolomyces foliicola
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_149	NG_063386	111	90.090	12488	12598	114	78	3.82e-33	Fellomyces penicillatus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_166	NG_065587	101	97.030	46195	46295	3	91	2.16e-40	Mucor lanceolatus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_166	NG_065589	101	97.030	46195	46295	3	91	2.16e-40	Mucor brunneogriseus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_166	NG_065588	101	97.030	46195	46295	3	91	2.16e-40	Mucor circinelloides
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_166	NG_065498	101	97.030	46195	46295	18	91	2.16e-40	Mucor racemosus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_166	NG_062759	102	96.078	46195	46295	18	88	1.00e-38	Pilaira moreaui var. caucasica
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_961	NG_065588	1747	99.943	862	2608	1	1744	0.0	Mucor circinelloides
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_961	NG_065498	1760	99.432	847	2605	1	1729	0.0	Mucor racemosus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_961	NG_065589	1753	99.315	862	2613	1	1716	0.0	Mucor brunneogriseus
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_961	NG_065592	1733	99.596	874	2606	1	1712	0.0	Mucor circinelloides f. janssenii
Mucor_sp._NRRL_A-21230	NRRL_A-21230_metscf_961	NG_065591	1728	99.306	874	2599	1	1691	0.0	Mucor circinelloides f. griseocyanus
Mortierella_sp._AD032	AD032_metscf_1274	NG_070287	691	92.185	1763	2450	1710	526	0.0	Mortierella sp. WA18944
Mortierella_sp._AD032	AD032_metscf_1274	NG_070287	425	92.235	2449	2873	973	324	1.73e-170	Mortierella sp. WA18944
Mortierella_sp._AD032	AD032_metscf_1274	NG_017176	731	87.825	1722	2450	1460	462	0.0	Olpidium brassicae
Mortierella_sp._AD032	AD032_metscf_1274	NG_017176	428	85.514	2449	2873	679	236	1.43e-121	Olpidium brassicae
Mortierella_sp._AD032	AD032_metscf_1274	NG_070687	733	87.585	1722	2450	1767	457	0.0	Endogone lactiflua
Mortierella_sp._AD032	AD032_metscf_1274	NG_070687	427	85.480	2449	2873	983	238	1.11e-122	Endogone lactiflua
Mortierella_sp._AD032	AD032_metscf_1274	NG_070694	642	89.252	1811	2450	1646	433	0.0	N/A
Mortierella_sp._AD032	AD032_metscf_1274	NG_070694	427	86.183	2449	2873	955	247	1.10e-127	N/A
Mortierella_sp._AD032	AD032_metscf_1274	NG_070282	722	86.704	1730	2447	1719	432	0.0	Basidiobolus heterosporus
Mortierella_sp._AD032	AD032_metscf_1274	NG_070282	430	85.349	2449	2873	946	236	1.43e-121	Basidiobolus heterosporus
Mortierella_sp._AD032	AD032_metscf_1716	NG_070287	1714	98.950	1808	3520	1	1659	0.0	Mortierella sp. WA18944
Mortierella_sp._AD032	AD032_metscf_1716	NG_070687	1769	94.121	1801	3560	1	1452	0.0	Endogone lactiflua
Mortierella_sp._AD032	AD032_metscf_1716	NG_070795	1650	95.091	1801	3443	1	1403	0.0	N/A
Mortierella_sp._AD032	AD032_metscf_1716	NG_017168	1793	92.080	1784	3560	1	1354	0.0	Polychytrium aggregatum
Mortierella_sp._AD032	AD032_metscf_1716	NG_070694	1641	94.028	1837	3468	7	1342	0.0	N/A
Mortierella_alpina_AD072	AD072_metscf_1234	NG_070287	1713	98.774	1688	3400	1	1650	0.0	Mortierella sp. WA18944
Mortierella_alpina_AD072	AD072_metscf_1234	NG_070687	1769	94.404	1681	3440	1	1467	0.0	Endogone lactiflua
Mortierella_alpina_AD072	AD072_metscf_1234	NG_070795	1672	94.856	1681	3345	1	1410	0.0	N/A
Mortierella_alpina_AD072	AD072_metscf_1234	NG_070282	1726	93.163	1720	3430	1	1362	0.0	Basidiobolus heterosporus
Mortierella_alpina_AD072	AD072_metscf_1234	NG_070694	1641	94.272	1717	3348	7	1354	0.0	N/A
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_070865	1827	89.655	4474	6274	1810	1238	0.0	Myconymphaea yatsukahoi
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_070867	1840	89.620	4472	6277	1810	1235	0.0	Pinnaticoemansia coronantispora
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_062133	1835	83.052	4459	6270	1779	862	0.0	Cryptococcus dimennae
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_063521	1807	83.011	4488	6270	1746	843	0.0	Bullera globospora
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_070233	1077	84.958	4474	5533	1782	570	0.0	Scytinostroma caudisporum
Dipsacomyces_acuminosporus_NRRL_2925	NRRL_2925_metscf_414	NG_070233	623	86.196	5658	6272	625	357	0.0	Scytinostroma caudisporum
Absidia_cylindrospora_NRRL_1341	NRRL_1341_plascf_1_covcut_334	NG_065707	1720	97.151	7201	8916	1715	1568	0.0	N/A
Absidia_cylindrospora_NRRL_1341	NRRL_1341_plascf_1_covcut_334	NG_061008	1771	95.652	7179	8944	1762	1533	0.0	Chlamydoabsidia padenii
Absidia_cylindrospora_NRRL_1341	NRRL_1341_plascf_1_covcut_334	NG_062386	1797	88.314	7170	8944	1778	1146	0.0	Backusella variabilis
Absidia_cylindrospora_NRRL_1341	NRRL_1341_plascf_1_covcut_334	NG_061009	1777	88.407	7179	8941	1751	1139	0.0	Backusella circina
Absidia_cylindrospora_NRRL_1341	NRRL_1341_plascf_1_covcut_334	NG_065558	1159	97.412	7787	8944	1157	1067	0.0	Absidia psychrophilia
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_321	NG_065707	77	98.701	40270	40346	1263	74	5.45e-31	N/A
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_378	NG_065640	95	94.737	2481	2575	691	79	7.87e-34	Absidia stercoraria
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_502	NG_065640	129	97.674	26052	26180	615	120	9.57e-57	Absidia stercoraria
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_502	NG_065558	129	92.248	26052	26180	647	99	4.52e-45	Absidia psychrophilia
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_502	NG_065707	136	89.706	26048	26180	622	90	4.55e-40	N/A
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_502	NG_061008	120	91.667	26063	26180	635	88	5.88e-39	Chlamydoabsidia padenii
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_502	NG_065075	85	97.647	26096	26180	573	79	5.93e-34	Gongronella sp. HBL-2016
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_565	NG_065707	122	98.361	5592	5713	952	116	1.31e-54	N/A
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_565	NG_065075	122	98.361	5592	5713	933	116	1.31e-54	Gongronella sp. HBL-2016
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_565	NG_061008	122	98.361	5592	5713	978	116	1.31e-54	Chlamydoabsidia padenii
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_565	NG_065640	122	98.361	5592	5713	948	116	1.31e-54	Absidia stercoraria
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_565	NG_065558	122	97.541	5592	5713	980	113	6.08e-53	Absidia psychrophilia
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_597	NG_065707	95	93.684	8391	8485	571	77	5.64e-33	N/A
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_597	NG_061008	95	93.684	8391	8485	597	77	5.64e-33	Chlamydoabsidia padenii
Absidia_cylindrospora_NRRL_1341	NRRL_1341_metscf_597	NG_065640	95	93.684	8391	8485	567	77	5.64e-33	Absidia stercoraria
